match_id,team1,team2,date,src_team1_score,src_team2_score,team1_xg,team2_xg,team1_shots,team2_shots,team1_sot,team2_sot,team1_big_chances,team2_big_chances,team1_poss,team2_poss,source,match_url,note
75,Netherlands,Morocco,06/29/2026,1,1,0.24,1.38,6,11,2,5,1,5,30,70,Sofascore,https://www.sofascore.com/football/match/morocco-netherlands/fUbsDVb#id:12812998,
76,Brazil,Japan,06/29/2026,2,1,2.07,0.33,19,5,7,2,5,0,69,31,Sofascore,https://www.sofascore.com/football/match/japan-brazil/YUbsvVb#id:12813012,
77,France,Sweden,06/30/2026,3,0,3.24,0.7,25,8,12,3,7,1,61,39,Sofascore,https://www.sofascore.com/football/match/sweden-france/GObsNTb#id:12812995,
78,Ivory Coast,Norway,06/30/2026,1,2,1.49,1.9,14,9,5,4,3,4,47,53,Sofascore,https://www.sofascore.com/football/match/cote-divoire-norway/AObstVb#id:12812989,
79,Mexico,Ecuador,06/30/2026,2,0,1.05,0.75,15,7,3,1,2,1,43,57,Sofascore,https://www.sofascore.com/football/match/mexico-ecuador/hVbsGVb#id:12813001,
80,England,Democratic Republic of the Congo,07/01/2026,2,1,2.16,0.77,16,7,7,2,7,1,60,40,Sofascore,https://www.sofascore.com/football/match/dr-congo-england/nUbsyWb#id:12813020,
81,United States,Bosnia and Herzegovina,07/01/2026,2,0,0.88,0.25,8,10,2,3,2,0,48,52,Sofascore,https://www.sofascore.com/football/match/usa-bosnia-and-herzegovina/EObszUb#id:12812992,
82,Belgium,Senegal,07/01/2026,3,2,1.74,3.58,19,19,5,5,3,6,52,48,Sofascore,https://www.sofascore.com/football/match/senegal-belgium/rUbsOUb#id:12813013,
83,Portugal,Croatia,07/02/2026,2,1,2.2,1.34,15,13,3,6,3,4,60,40,Sofascore,https://www.sofascore.com/football/match/croatia-portugal/eUbspUb#id:12812997,
84,Spain,Austria,07/02/2026,3,0,2.8,0.32,23,5,10,0,4,1,64,36,Sofascore,https://www.sofascore.com/football/match/austria-spain/YTbstUb#id:12813004,
85,Switzerland,Algeria,07/02/2026,2,0,2.45,0.74,11,8,5,2,2,2,45,55,Sofascore,https://www.sofascore.com/football/match/switzerland-algeria/QTbsZTb#id:12813019,
86,Argentina,Cape Verde,07/03/2026,3,2,2.26,0.47,22,16,10,5,3,0,64,36,Sofascore,https://www.sofascore.com/football/match/argentina-cabo-verde/dVbsuWb#id:12812999,
87,Colombia,Ghana,07/03/2026,1,0,2.04,0.27,20,8,8,0,5,0,61,39,Sofascore,https://www.sofascore.com/football/match/colombia-ghana/oVbsvWb#id:12813011,
88,Australia,Egypt,07/03/2026,1,1,0.84,1.32,16,14,1,3,0,3,42,58,Sofascore,https://www.sofascore.com/football/match/egypt-australia/QUbsiVb#id:12813018,
89,Paraguay,France,07/04/2026,0,1,0.13,1.45,5,15,1,5,0,2,24,76,Sofascore,https://www.sofascore.com/football/match/paraguay-france/GObsOVb#id:12813010,
90,Canada,Morocco,07/04/2026,0,3,0.84,0.82,10,5,3,4,1,2,45,55,Sofascore,https://www.sofascore.com/football/match/morocco-canada/cVbsDVb#id:12813009,
91,Brazil,Norway,07/05/2026,1,2,2.61,1.05,14,9,4,5,5,3,34,66,Sofascore,https://www.sofascore.com/football/match/brazil-norway/AObsYUb#id:12813006,
92,Mexico,England,07/05/2026,2,3,1.88,1.61,20,6,5,5,2,3,67,33,Sofascore,https://www.sofascore.com/football/match/mexico-england/nUbsGVb#id:12813007,
93,Portugal,Spain,07/06/2026,0,1,0.63,1.69,10,15,2,6,1,3,45,55,Sofascore,https://www.sofascore.com/football/match/portugal-spain/YTbseUb#id:12812990,
94,United States,Belgium,07/06/2026,1,4,0.63,2.01,7,15,2,7,0,4,56,44,Sofascore,https://www.sofascore.com/football/match/usa-belgium/rUbszUb#id:12813002,
